"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.033346	0.00018599	1	0.011418	0.05	0.044918	0.01101
0.033346	0.00018606	1	0.011451	0.05	0.044951	0.01101
0.033346	0.00018605	1	0.011484	0.05	0.044984	0.01101
0.033346	0.00018604	1	0.011517	0.05	0.045017	0.01101
0.033346	0.00018603	1	0.01155	0.05	0.04505	0.01101
0.033346	0.00018602	1	0.011583	0.05	0.045083	0.01101
0.033346	0.00018601	1	0.011616	0.05	0.045116	0.01101
0.033346	0.000186	1	0.011649	0.05	0.045149	0.01101
0.033346	0.00018599	1	0.011682	0.05	0.045182	0.01101
0.033346	0.00018599	1	0.011715	0.05	0.045215	0.01101
0.033346	0.000186	1	0.011748	0.05	0.045248	0.01101
0.033346	0.00018599	1	0.011781	0.05	0.045281	0.01101
0.033346	0.00018598	1	0.011814	0.05	0.045314	0.01101
0.033346	0.00018597	1	0.011847	0.05	0.045347	0.01101
0.033346	0.00018596	1	0.01188	0.05	0.04538	0.01101
0.033346	0.00018596	1	0.011913	0.05	0.045413	0.01101
0.033346	0.00018595	1	0.011946	0.05	0.045446	0.01101
0.033346	0.00018594	1	0.011979	0.05	0.045479	0.01101
0.033346	0.00018593	1	0.012012	0.05	0.045512	0.01101
0.033346	0.00018592	1	0.012045	0.05	0.045545	0.01101
0.033346	0.00018591	1	0.012078	0.05	0.045578	0.01101
0.033346	0.00018591	1	0.012111	0.05	0.045611	0.01101
0.033346	0.0001859	1	0.012144	0.05	0.045644	0.01101
0.033346	0.00018589	1	0.012177	0.05	0.045677	0.01101
0.033346	0.00018588	1	0.01221	0.05	0.04571	0.01101
0.033346	0.00018587	1	0.012243	0.05	0.045743	0.01101
0.033346	0.00018587	1	0.012276	0.05	0.045776	0.01101
0.033346	0.00018586	1	0.012309	0.05	0.045809	0.01101
0.033346	0.00018585	1	0.012342	0.05	0.045842	0.01101
0.033346	0.00018584	1	0.012375	0.05	0.045875	0.01101
0.033346	0.00018583	1	0.012408	0.05	0.045908	0.01101
0.033346	0.00018583	1	0.012441	0.05	0.045941	0.01101
0.033346	0.00018582	1	0.012474	0.05	0.045974	0.01101
0.033346	0.00018581	1	0.012507	0.05	0.046007	0.01101
0.033346	0.00018584	1	0.01254	0.05	0.04604	0.01101
0.033346	0.00018583	1	0.012573	0.05	0.046073	0.01101
0.033346	0.00018582	1	0.012606	0.05	0.046106	0.01101
0.033346	0.00018582	1	0.012639	0.05	0.046139	0.01101
0.033346	0.00018581	1	0.012672	0.05	0.046172	0.01101
