"potential real part"	"result"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
0.0073737	0.053089	1	0.01023	0.05	0.04373	0.01101
0.0073737	0.053052	1	0.010263	0.05	0.043763	0.01101
0.0073736	0.053016	1	0.010296	0.05	0.043796	0.01101
0.0073736	0.05298	1	0.010329	0.05	0.043829	0.01101
0.0073736	0.052961	1	0.010362	0.05	0.043862	0.01101
0.0073735	0.052968	1	0.010395	0.05	0.043895	0.01101
0.0073735	0.05293	1	0.010428	0.05	0.043928	0.01101
0.0073735	0.052892	1	0.010461	0.05	0.043961	0.01101
0.0073735	0.052854	1	0.010494	0.05	0.043994	0.01101
0.0073734	0.052817	1	0.010527	0.05	0.044027	0.01101
0.0073734	0.05278	1	0.01056	0.05	0.04406	0.01101
0.0073734	0.052742	1	0.010593	0.05	0.044093	0.01101
0.0073733	0.052705	1	0.010626	0.05	0.044126	0.01101
0.0073733	0.052668	1	0.010659	0.05	0.044159	0.01101
0.0073733	0.052632	1	0.010692	0.05	0.044192	0.01101
0.0073733	0.052595	1	0.010725	0.05	0.044225	0.01101
0.0073732	0.052559	1	0.010758	0.05	0.044258	0.01101
0.0073732	0.05253	1	0.010791	0.05	0.044291	0.01101
0.0073732	0.052502	1	0.010824	0.05	0.044324	0.01101
0.0073732	0.052466	1	0.010857	0.05	0.044357	0.01101
0.0073731	0.05243	1	0.01089	0.05	0.04439	0.01101
0.0073731	0.052394	1	0.010923	0.05	0.044423	0.01101
0.0073731	0.052359	1	0.010956	0.05	0.044456	0.01101
0.0073731	0.052323	1	0.010989	0.05	0.044489	0.01101
0.007373	0.052288	1	0.011022	0.05	0.044522	0.01101
0.007373	0.052253	1	0.011055	0.05	0.044555	0.01101
0.007373	0.052218	1	0.011088	0.05	0.044588	0.01101
0.007373	0.052183	1	0.011121	0.05	0.044621	0.01101
0.0073729	0.052149	1	0.011154	0.05	0.044654	0.01101
0.0073729	0.052114	1	0.011187	0.05	0.044687	0.01101
0.0073729	0.05208	1	0.01122	0.05	0.04472	0.01101
0.0073729	0.052046	1	0.011253	0.05	0.044753	0.01101
0.0073728	0.052012	1	0.011286	0.05	0.044786	0.01101
0.0073728	0.051978	1	0.011319	0.05	0.044819	0.01101
0.0073728	0.051944	1	0.011352	0.05	0.044852	0.01101
0.0073728	0.051911	1	0.011385	0.05	0.044885	0.01101
0.0073727	0.051877	1	0.011418	0.05	0.044918	0.01101
0.0073727	0.051895	1	0.011451	0.05	0.044951	0.01101
0.0073727	0.051861	1	0.011484	0.05	0.044984	0.01101
0.0073727	0.051827	1	0.011517	0.05	0.045017	0.01101
0.0073726	0.051793	1	0.01155	0.05	0.04505	0.01101
0.0073726	0.05176	1	0.011583	0.05	0.045083	0.01101
0.0073726	0.051726	1	0.011616	0.05	0.045116	0.01101
0.0073726	0.051693	1	0.011649	0.05	0.045149	0.01101
0.0073725	0.05166	1	0.011682	0.05	0.045182	0.01101
0.0073725	0.051627	1	0.011715	0.05	0.045215	0.01101
0.0073725	0.051613	1	0.011748	0.05	0.045248	0.01101
0.0073725	0.05158	1	0.011781	0.05	0.045281	0.01101
0.0073725	0.051548	1	0.011814	0.05	0.045314	0.01101
0.0073724	0.051515	1	0.011847	0.05	0.045347	0.01101
0.0073724	0.051483	1	0.01188	0.05	0.04538	0.01101
0.0073724	0.051452	1	0.011913	0.05	0.045413	0.01101
0.0073724	0.05142	1	0.011946	0.05	0.045446	0.01101
0.0073723	0.051388	1	0.011979	0.05	0.045479	0.01101
0.0073723	0.051357	1	0.012012	0.05	0.045512	0.01101
0.0073723	0.051326	1	0.012045	0.05	0.045545	0.01101
0.0073723	0.051295	1	0.012078	0.05	0.045578	0.01101
0.0073723	0.051264	1	0.012111	0.05	0.045611	0.01101
0.0073722	0.051234	1	0.012144	0.05	0.045644	0.01101
0.0073722	0.051203	1	0.012177	0.05	0.045677	0.01101
0.0073722	0.051173	1	0.01221	0.05	0.04571	0.01101
0.0073722	0.051143	1	0.012243	0.05	0.045743	0.01101
0.0073722	0.051113	1	0.012276	0.05	0.045776	0.01101
0.0073721	0.051084	1	0.012309	0.05	0.045809	0.01101
0.0073721	0.051054	1	0.012342	0.05	0.045842	0.01101
0.0073721	0.051025	1	0.012375	0.05	0.045875	0.01101
0.0073721	0.050996	1	0.012408	0.05	0.045908	0.01101
0.007372	0.050967	1	0.012441	0.05	0.045941	0.01101
0.007372	0.050938	1	0.012474	0.05	0.045974	0.01101
0.007372	0.05091	1	0.012507	0.05	0.046007	0.01101
0.007372	0.050905	1	0.01254	0.05	0.04604	0.01101
0.007372	0.050877	1	0.012573	0.05	0.046073	0.01101
0.007372	0.050849	1	0.012606	0.05	0.046106	0.01101
0.0073719	0.050821	1	0.012639	0.05	0.046139	0.01101
0.0073719	0.050793	1	0.012672	0.05	0.046172	0.01101
0.0073719	0.050766	1	0.012705	0.05	0.046205	0.01101
0.0073719	0.050738	1	0.012738	0.05	0.046238	0.01101
0.0073719	0.050711	1	0.012771	0.05	0.046271	0.01101
0.0073718	0.050684	1	0.012804	0.05	0.046304	0.01101
0.0073718	0.050658	1	0.012837	0.05	0.046337	0.01101
0.0073718	0.050631	1	0.01287	0.05	0.04637	0.01101
0.0073718	0.050605	1	0.012903	0.05	0.046403	0.01101
0.0073718	0.050579	1	0.012936	0.05	0.046436	0.01101
0.0073717	0.050553	1	0.012969	0.05	0.046469	0.01101
0.0073717	0.050528	1	0.013002	0.05	0.046502	0.01101
0.0073717	0.050502	1	0.013035	0.05	0.046535	0.01101
0.0073717	0.050477	1	0.013068	0.05	0.046568	0.01101
0.0073717	0.050452	1	0.013101	0.05	0.046601	0.01101
0.0073717	0.050427	1	0.013134	0.05	0.046634	0.01101
0.0073716	0.050403	1	0.013167	0.05	0.046667	0.01101
0.0073716	0.050378	1	0.0132	0.05	0.0467	0.01101
0.0073716	0.050354	1	0.013233	0.05	0.046733	0.01101
0.0073716	0.05033	1	0.013266	0.05	0.046766	0.01101
0.0073716	0.050309	1	0.013299	0.05	0.046799	0.01101
0.0073716	0.050301	1	0.013332	0.05	0.046832	0.01101
0.0073715	0.050278	1	0.013365	0.05	0.046865	0.01101
0.0073715	0.050255	1	0.013398	0.05	0.046898	0.01101
0.0073715	0.050232	1	0.013431	0.05	0.046931	0.01101
0.0073715	0.050209	1	0.013464	0.05	0.046964	0.01101
0.0073715	0.050187	1	0.013497	0.05	0.046997	0.01101
0.0073715	0.050165	1	0.01353	0.05	0.04703	0.01101
0.0073715	0.050143	1	0.013563	0.05	0.047063	0.01101
0.0073714	0.050121	1	0.013596	0.05	0.047096	0.01101
0.0073714	0.0501	1	0.013629	0.05	0.047129	0.01101
0.0073714	0.050079	1	0.013662	0.05	0.047162	0.01101
0.0073714	0.050057	1	0.013695	0.05	0.047195	0.01101
0.0073714	0.050036	1	0.013728	0.05	0.047228	0.01101
0.0073714	0.050016	1	0.013761	0.05	0.047261	0.01101
0.0073714	0.049995	1	0.013794	0.05	0.047294	0.01101
0.0073713	0.049975	1	0.013827	0.05	0.047327	0.01101
0.0073713	0.049955	1	0.01386	0.05	0.04736	0.01101
0.0073713	0.049935	1	0.013893	0.05	0.047393	0.01101
0.0073713	0.049915	1	0.013926	0.05	0.047426	0.01101
0.0073713	0.049896	1	0.013959	0.05	0.047459	0.01101
